,Dataset,Model,Next Step,Next Resource,Last Resource,Outcome,Next relative Timestamp,Duration to Outcome,Activity Suffix,Resource Suffix
41,BPIC12_O,Camargo_concat,0.7835150361061096,0.2203098088502884,0.18148785829544067,0.5109963417053223,2.2678139209747314,8.048857688903809,,
42,BPIC12_O,Camargo_fullconcat,0.8253968358039856,0.2526295781135559,0.18148785829544067,0.5109963417053223,2.0997819900512695,7.859104633331299,,
43,BPIC12_O,MiDA,0.5362402200698853,0.09829795360565186,0.18148785829544067,0.5109963417053223,2.3486788272857666,7.703313827514648,,
44,BPIC12_O,MPPN,0.8267354965209961,0.6316695213317871,0.18454770743846893,0.5043029189109802,2.5543534755706787,7.535276412963867,,
45,BPIC12_Wc,Evermann,0.7737887501716614,0.10437962412834167,0.1104462742805481,0.4353029131889343,,,,
46,BPIC12_Wc,Tax_Spezialized,0.7737887501716614,,,0.4353029131889343,1.7316927909851074,8.044986724853516,,
47,BPIC12_Wc,Tax_Shared,0.7737887501716614,,,0.5694340467453003,1.6576604843139648,7.3456950187683105,,
48,BPIC12_Wc,Tax_Mixed,0.7737056612968445,,,0.4353029131889343,1.5125629901885986,7.6264262199401855,,
49,BPIC12_Wc,Camargo_Spezialized,0.7737887501716614,0.10437962412834167,0.12266267836093903,0.4353029131889343,1.7533165216445923,8.284875869750977,,
50,BPIC12_Wc,Camargo_concat,0.831214189529419,0.10437962412834167,0.1104462742805481,0.4353029131889343,1.6832112073898315,8.337848663330078,,
51,BPIC12_Wc,Camargo_fullconcat,0.7725421786308289,0.10437962412834167,0.1104462742805481,0.4353029131889343,1.6413328647613525,7.340806484222412,,
52,BPIC12_Wc,MiDA,0.8180835843086243,0.10437962412834167,0.20402227342128754,0.4353029131889343,1.7224920988082886,7.610516548156738,,
53,BPIC12_Wc,MPPN,0.8115183115005493,0.24166874587535858,0.14518406987190247,0.5490733981132507,1.7972097396850586,7.535173416137695,,
54,BPIC13_CP,Evermann,0.5226615071296692,0.08582449704408646,0.21118611097335815,1.0,,,,
55,BPIC13_CP,Tax_Spezialized,0.5226615071296692,,,1.0,49.050445556640625,147.5135955810547,,
56,BPIC13_CP,Tax_Shared,0.5024108290672302,,,1.0,47.034420013427734,129.9915771484375,,
57,BPIC13_CP,Tax_Mixed,0.3105110824108124,,,1.0,113.07539367675781,175.27481079101562,,
58,BPIC13_CP,Camargo_Spezialized,0.5226615071296692,0.08582449704408646,0.21118611097335815,1.0,55.83174514770508,140.9630584716797,,
59,BPIC13_CP,Camargo_concat,0.5245901346206665,0.08582449704408646,0.21118611097335815,1.0,50.32825469970703,137.28135681152344,,
60,BPIC13_CP,Camargo_fullconcat,0.5120540261268616,0.15621986985206604,0.21118611097335815,1.0,73.18948364257812,141.86593627929688,,
61,BPIC13_CP,MiDA,0.5265188217163086,0.08582449704408646,0.21118611097335815,1.0,52.530948638916016,125.67529296875,,
62,BPIC13_CP,MPPN,0.5737704634666443,0.1764705926179886,0.21697203814983368,1.0,52.92028045654297,128.7152099609375,,
63,BPIC17_O,Evermann,0.8176010847091675,0.06424174457788467,0.1935526579618454,0.5185344815254211,,,,
64,BPIC17_O,Tax_Spezialized,0.6624743342399597,,,0.4625670313835144,3.541027545928955,9.555193901062012,,
65,BPIC17_O,Tax_Shared,0.8176010847091675,,,0.5194280743598938,3.5629611015319824,9.482963562011719,,
66,BPIC17_O,Tax_Mixed,0.8176010847091675,,,0.4625670313835144,3.870340347290039,9.918464660644531,,
67,BPIC17_O,Camargo_Spezialized,0.8176010847091675,0.06424174457788467,0.19196398556232452,0.5185344815254211,3.540574073791504,9.612809181213379,,
68,BPIC17_O,Camargo_concat,0.8176010847091675,0.5943602323532104,0.19196398556232452,0.5179718136787415,3.5122196674346924,9.614457130432129,,
69,BPIC17_O,Camargo_fullconcat,0.8176010847091675,0.06424174457788467,0.19196398556232452,0.5190640091896057,3.586139678955078,9.524221420288086,,
70,BPIC17_O,MiDA,0.8176010847091675,0.06424174457788467,0.19196398556232452,0.827397882938385,3.2831192016601562,8.964925765991211,,
71,BPIC17_O,MPPN,0.8176010847091675,0.6361289620399475,0.20851260423660278,0.5185344815254211,3.5046916007995605,9.523369789123535,,
72,BPIC20_RFP,Evermann,0.5809652209281921,0.8372288346290588,0.9579619765281677,0.9572893977165222,,,,
73,BPIC20_RFP,Tax_Spezialized,0.8283168077468872,,,0.9572893977165222,2.234029769897461,5.882226467132568,,
74,BPIC20_RFP,Tax_Shared,0.8500084280967712,,,0.9572893977165222,2.135474920272827,5.574246406555176,,
75,BPIC20_RFP,Tax_Mixed,0.4207163155078888,,,0.9572893977165222,2.2912580966949463,8.561004638671875,,
76,BPIC20_RFP,Camargo_Spezialized,0.7921640872955322,0.8372288346290588,0.9579619765281677,0.9572893977165222,2.4289309978485107,6.083957672119141,,
77,BPIC20_RFP,Camargo_concat,0.6344375610351562,0.9973095655441284,0.9579619765281677,0.9572893977165222,2.5188465118408203,6.091797828674316,,
78,BPIC20_RFP,Camargo_fullconcat,0.7881284952163696,0.9959643483161926,0.9579619765281677,0.9572893977165222,2.934095859527588,6.035336971282959,,
79,BPIC20_RFP,MiDA,0.42357492446899414,0.9969732761383057,0.9579619765281677,0.9572893977165222,2.535862922668457,5.723656177520752,,
80,BPIC20_RFP,MPPN,0.8501765727996826,0.9973095655441284,0.9579619765281677,0.9572893977165222,2.634882926940918,5.595919132232666,,
